reviewScore,genres,runtime,name,titleId
8.2,"Action,Adventure,Fantasy",138 min,Star Wars: The Force Awakens,tt2488496
8.0,"Adventure,Drama,Sci-Fi",144 min,The Martian,tt3659388
8.0,"Adventure,Drama,Thriller",156 min,The Revenant,tt1663202
8.2,"Animation,Adventure,Comedy",95 min,Inside Out,tt2096673
7.7,"Drama,Mystery,Sci-Fi",108 min,Ex Machina,tt0470752
6.8,"Action,Adventure,Thriller",148 min,Spectre,tt2379713
7.4,"Action,Adventure,Thriller",131 min,Mission: Impossible - Rogue Nation,tt2381249
8.1,"Biography,Crime,Drama",128 min,Spotlight,tt1895587
7.8,"Biography,Comedy,Drama",130 min,The Big Short,tt1596363
7.6,"Drama,History,Thriller",142 min,Bridge of Spies,tt3682448
8.2,Drama,118 min,Room,tt3170832
6.9,"Action,Crime,Drama",120 min,Chappie,tt1823672
6.3,"Adventure,Sci-Fi,Thriller",119 min,Insurgent,tt2908446
6.6,"Comedy,Crime,Drama",105 min,Focus,tt2381941
6.1,"Action,Adventure,Drama",114 min,San Andreas,tt2126355
6.4,"Action,Sci-Fi,Thriller",132 min,Maze Runner: The Scorch Trials,tt4046784
5.4,"Action,Adventure,Sci-Fi",127 min,Jupiter Ascending,tt1617661
6.5,"Action,Adventure,Family",130 min,Tomorrowland,tt1964418
6.9,"Biography,Crime,Drama",123 min,Black Mass,tt1355683
4.3,"Action,Adventure,Sci-Fi",100 min,Fantastic Four,tt1502712
8.6,"Adventure,Drama,Sci-Fi",169 min,Interstellar,tt0816692
8.1,"Crime,Drama,Mystery",149 min,Gone Girl,tt2267998
7.8,"Action,Adventure,Sci-Fi",136 min,Captain America: The Winter Soldier,tt1843866
8.1,"Biography,Drama,Thriller",114 min,The Imitation Game,tt2084970
8.5,"Drama,Music",107 min,Whiplash,tt2582802
7.8,"Comedy,Drama,Romance",119 min,Birdman or (The Unexpected Virtue of Ignorance),tt2562232
6.7,"Adventure,Mystery,Sci-Fi",139 min,Divergent,tt1840309
7.3,"Action,Biography,Drama",133 min,American Sniper,tt2179136
7.6,"Action,Adventure,Drama",130 min,Dawn of the Planet of the Apes,tt2103281
6.7,"Adventure,Sci-Fi,Thriller",123 min,The Hunger Games: Mockingjay - Part 1,tt1951265
6.5,"Action,Adventure,Sci-Fi",123 min,Godzilla,tt0831387
7.9,"Animation,Action,Adventure",102 min,Big Hero 6,tt2245084
7.9,Drama,165 min,Boyhood,tt1065073
7.2,"Action,Crime,Thriller",101 min,John Wick,tt2911666
7.8,"Drama,Romance",126 min,The Fault in Our Stars,tt2582846
